datetime,hvac,air_temp,relative_humidity_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,dayofweek,hourofday,kernel_0,kernel_1,kernel_2,kernel_3,kernel_4,kernel_5
2018-10-16 01:00:00,62.96320833125,40.4075,21.215,41.83500000000001,-2.7375,1,1,2.520278743414712e-35,6.445838735517486e-88,0.0010750408474814008,0.998298600428796,1.9328353199646254e-54,0.000626358661495985
2018-10-16 02:00:00,60.50750148750001,40.455,16.14,0.0575,-6.55,1,2,1.3027304780179767e-38,2.352655353977718e-91,0.0035229618409378972,0.9958790983679654,3.1725404767294346e-56,0.0005979396656272
2018-10-16 03:00:00,52.25958996375,39.7325,17.9175,0.0,-5.4975000000000005,1,3,1.6030794605843843e-31,4.3062734387768246e-71,0.057561384511164305,0.9228575257739547,3.7791350135672596e-51,0.019581089277097275
2018-10-16 04:00:00,51.27330018999999,38.9375,17.575,0.0,-6.045,1,4,5.725751319294213e-32,1.4933328362612656e-64,0.217654598874,0.6697107247550275,8.024368334676371e-49,0.11263467517075623
2018-10-16 05:00:00,47.924665967500005,38.935,13.815000000000001,0.0,-9.1425,1,5,1.8999176833007104e-40,2.0894018891048142e-69,0.36540553919750296,0.5149443883849311,2.9271549257936644e-50,0.11965007027106346
2018-10-16 06:00:00,55.671828125,39.75,12.0,0.0,-10.5625,1,6,1.4168354876911014e-44,6.106375282738985e-73,0.7701811928437455,0.15427984635523553,1.7972811329881058e-51,0.07553895879802695
2018-10-16 07:00:00,56.85480267125,39.165,12.1325,0.0,-10.68,1,7,3.3821954799471925e-44,3.091625498843718e-71,0.7874869192208118,0.15645927882892313,6.377207655451453e-51,0.056053799939402474
2018-10-16 08:00:00,56.948246528750005,35.8275,15.125,0.0,-9.4725,1,8,4.069671625192604e-40,3.6791707367437604e-63,0.40517494760877304,0.35563803501906566,4.764835115975767e-47,0.23918701024694988
2018-10-16 09:00:00,61.517360749999995,32.1675,26.4075,0.0,-3.6175,1,9,9.925675404360131e-23,5.359449421600079e-40,0.32709590439279,0.3980206923992003,8.113653264971956e-39,0.27488339830293773
2018-10-16 10:00:00,60.4489423075,31.1325,29.23625,0.0,-2.7925,1,10,1.1382202441922372e-19,1.8727071272580767e-34,0.5078918346491716,0.2514855546521451,1.3687623930820302e-36,0.24062260394360097
2018-10-16 11:00:00,62.23595819124999,31.112500000000004,33.1275,0.0,-0.9800000000000001,1,11,1.4931206120459025e-14,3.037220588745003e-27,0.8408202294181075,0.05388253343173063,2.3077980287218076e-34,0.1052972325954658
2018-10-16 12:00:00,61.66685516,29.747500000000002,32.8375,0.0,-1.705,1,12,2.424382493135124e-15,4.208345244297954e-27,0.8087079834500775,0.07480174166503163,1.573221084227817e-33,0.11649025934334602
2018-10-16 13:00:00,60.08669841375,28.35,35.825,0.0,-1.1825,1,13,6.225659170250084e-14,3.307193520820879e-23,0.902515577282635,0.013418367883648478,3.701452763813554e-31,0.08406603293738403
2018-10-16 14:00:00,63.92369800625001,28.792499999999997,40.767500000000005,4.0775,0.715,1,14,9.58735767572098e-10,1.0138023840167761e-17,0.9946422855984371,0.00020745922430411067,1.4063696929183506e-29,0.005150251477096191
2018-10-16 15:00:00,63.22563759,30.9075,32.305,131.4525,-1.4449999999999998,1,15,6.067668689989388e-13,2.576147967574607e-22,0.993230369158259,2.156461577674809e-05,9.813973490980189e-32,0.006748058103006956
2018-10-16 16:00:00,61.7928333325,33.8425,25.68,306.05,-3.1750000000000003,1,16,2.500451989593952e-19,3.1676975958134545e-26,0.9994251441593728,3.494100343427772e-08,7.369611940979179e-34,0.0005748184225424628
2018-10-16 17:00:00,63.548156251250006,34.489999999999995,31.985000000000003,460.95000000000005,0.17250000000000001,1,17,2.9744982424688536e-21,2.1187879568762828e-17,0.9999940394143388,5.973436125659674e-13,7.1232257086702165e-31,5.960494736134833e-06
2018-10-16 18:00:00,67.26308261375,37.6125,33.3925,577.3,2.2475,1,18,1.3986540853197198e-26,3.2828503774514e-13,0.9999998848334891,2.55918642901108e-17,6.126632773408766e-31,1.151571916032688e-07
2018-10-16 19:00:00,74.89252182625,38.78,44.905,642.85,7.2125,1,19,1.847903209287739e-30,6.65547955741979e-06,0.9999933430376712,1.164248633596177e-22,4.5958552511406275e-29,1.4821378828345168e-09
2018-10-16 20:00:00,76.66236417875001,42.8775,37.4225,655.725,6.4625,1,20,4.448216378542294e-32,6.884332643839672e-08,0.999999930844306,5.3607351506732e-24,3.210803690830323e-32,3.113966932912136e-10
2018-10-16 21:00:00,75.77952319875,40.934999999999995,44.2375,613.9749999999999,8.0675,1,21,3.5360527005831954e-29,1.0827523366581977e-06,0.9999989171669178,6.085818198234401e-26,8.9522360485641e-30,7.940821214768232e-11
2018-10-16 22:00:00,78.81714484,40.0975,34.8425,517.825,4.2475,1,22,9.572594352664642e-23,1.4491331112374017e-13,0.9999999993801117,1.216428598303199e-23,9.482809024883639e-32,5.628474452305058e-10
2018-10-16 23:00:00,67.94099999999999,37.6325,27.652500000000003,375.85,-0.38249999999999995,1,23,3.268522794491157e-17,5.3901713809741924e-21,0.9999998119344174,1.4228880046737546e-19,6.341494185758517e-31,1.2275741290313875e-07
2018-10-17 00:00:00,60.394189755,34.040000000000006,45.88,203.25,4.265000000000001,2,0,2.4096725632115685e-33,3.4330810926007635e-67,0.023748169501209778,0.9713187478246852,1.232098221973258e-28,0.0049330826505839835
2018-10-17 01:00:00,58.767258298749994,27.009999999999998,80.20750000000001,37.47749999999999,10.1125,2,1,1.642905182419962e-18,6.008893541068037e-34,0.9970904801142179,0.0027932767367320104,1.5376736054280586e-18,0.00011624314666311865
2018-10-17 02:00:00,59.8223015875,24.445,88.8,0.08,10.4,2,2,5.591709512768513e-15,1.7486324057584362e-26,0.9999471017731582,1.4579991834760614e-05,3.092358375583147e-16,3.831823422574382e-05
